,Font,Point size,WER,CER,txt,Weight,Width
46,Helvetica Neue LT Pro 67 Medium Condensed,22,0.109375,0.015409570154095702,helvetica/txt/11.22.txt,6,7
47,Helvetica Neue LT Pro 67 Medium Condensed,28,0.036458333333333336,0.006477732793522267,helvetica/txt/11.28.txt,6,7
48,Helvetica Neue LT Pro 43 Light Extended,10,0.9947916666666666,0.7591240875912408,helvetica/txt/12.10.txt,4,3
49,Helvetica Neue LT Pro 43 Light Extended,16,0.7395833333333334,0.3098134630981346,helvetica/txt/12.16.txt,4,3
50,Helvetica Neue LT Pro 43 Light Extended,22,0.2552083333333333,0.043795620437956206,helvetica/txt/12.22.txt,4,3
51,Helvetica Neue LT Pro 43 Light Extended,28,0.15104166666666666,0.021897810218978103,helvetica/txt/12.28.txt,4,3
52,Helvetica Neue LT Pro 53 Extended,10,0.9479166666666666,0.6034063260340633,helvetica/txt/13.10.txt,5,3
53,Helvetica Neue LT Pro 53 Extended,16,0.35714285714285715,0.09651257096512571,helvetica/txt/13.16.txt,5,3
54,Helvetica Neue LT Pro 53 Extended,22,0.078125,0.01775625504439064,helvetica/txt/13.22.txt,5,3
55,Helvetica Neue LT Pro 53 Extended,28,0.010416666666666666,0.0032388663967611335,helvetica/txt/13.28.txt,5,3
56,Helvetica Neue LT Pro 27 Ultra Light Condensed,10,1.0,1.0,helvetica/txt/14.10.txt,2,7
57,Helvetica Neue LT Pro 27 Ultra Light Condensed,16,1.0,1.0,helvetica/txt/14.16.txt,2,7
58,Helvetica Neue LT Pro 27 Ultra Light Condensed,22,1.0,1.0,helvetica/txt/14.22.txt,2,7
59,Helvetica Neue LT Pro 27 Ultra Light Condensed,28,1.0,0.9253852392538524,helvetica/txt/14.28.txt,2,7
60,Helvetica Neue LT Pro 25 Ultra Light,10,1.0,1.0,helvetica/txt/15.10.txt,2,5
61,Helvetica Neue LT Pro 25 Ultra Light,16,1.0,1.0,helvetica/txt/15.16.txt,2,5
62,Helvetica Neue LT Pro 25 Ultra Light,22,1.0,1.0,helvetica/txt/15.22.txt,2,5
63,Helvetica Neue LT Pro 25 Ultra Light,28,1.0,1.0,helvetica/txt/15.28.txt,2,5
64,Helvetica Neue LT Pro 93 Black Extended,10,0.9336734693877551,0.6650641025641025,helvetica/txt/16.10.txt,9,3
65,Helvetica Neue LT Pro 93 Black Extended,16,0.39285714285714285,0.1362530413625304,helvetica/txt/16.16.txt,9,3
66,Helvetica Neue LT Pro 93 Black Extended,22,0.12307692307692308,0.027575020275750203,helvetica/txt/16.22.txt,9,3
67,Helvetica Neue LT Pro 93 Black Extended,28,0.010416666666666666,0.0032388663967611335,helvetica/txt/16.28.txt,9,3
68,Helvetica Neue LT Pro 47 Light Condensed,10,1.0,0.8726682887266829,helvetica/txt/17.10.txt,4,7
69,Helvetica Neue LT Pro 47 Light Condensed,16,0.828125,0.48742903487429035,helvetica/txt/17.16.txt,4,7
70,Helvetica Neue LT Pro 47 Light Condensed,22,0.3333333333333333,0.05677210056772101,helvetica/txt/17.22.txt,4,7
71,Helvetica Neue LT Pro 47 Light Condensed,28,0.4583333333333333,0.09813463098134631,helvetica/txt/17.28.txt,4,7
